business_id,score,date,type,new_date,year
768,87,20150601,routine,2015-06-01,2015
768,92,20170124,routine,2017-01-24,2017
773,91,20150225,routine,2015-02-25,2015
773,96,20161205,routine,2016-12-05,2016
774,90,20161205,routine,2016-12-05,2016
782,96,20170131,routine,2017-01-31,2017
782,93,20150219,routine,2015-02-19,2015
782,96,20151030,routine,2015-10-30,2015
786,80,20160822,routine,2016-08-22,2016
786,94,20150803,routine,2015-08-03,2015
792,90,20161017,routine,2016-10-17,2016
792,94,20160414,routine,2016-04-14,2016
792,96,20180123,routine,2018-01-23,2018
792,85,20170713,routine,2017-07-13,2017
795,98,20170104,routine,2017-01-04,2017
795,96,20160607,routine,2016-06-07,2016
795,96,20171025,routine,2017-10-25,2017
795,96,20150406,routine,2015-04-06,2015
798,83,20161209,routine,2016-12-09,2016
798,94,20171103,routine,2017-11-03,2017
798,90,20160512,routine,2016-05-12,2016
799,100,20150430,routine,2015-04-30,2015
799,92,20160608,routine,2016-06-08,2016
799,98,20170920,routine,2017-09-20,2017
811,94,20170906,routine,2017-09-06,2017
811,67,20150713,routine,2015-07-13,2015
811,96,20150928,routine,2015-09-28,2015
816,87,20150819,routine,2015-08-19,2015
816,85,20170117,routine,2017-01-17,2017
821,85,20160606,routine,2016-06-06,2016
824,76,20160602,routine,2016-06-02,2016
824,80,20161103,routine,2016-11-03,2016
824,71,20170621,routine,2017-06-21,2017
826,90,20170724,routine,2017-07-24,2017
826,83,20160523,routine,2016-05-23,2016
826,100,20150303,routine,2015-03-03,2015
827,84,20160620,routine,2016-06-20,2016
827,84,20170302,routine,2017-03-02,2017
830,85,20170321,routine,2017-03-21,2017
830,82,20160728,routine,2016-07-28,2016
830,84,20150730,routine,2015-07-30,2015
835,86,20171114,routine,2017-11-14,2017
835,77,20160106,routine,2016-01-06,2016
835,81,20160613,routine,2016-06-13,2016
840,81,20151028,routine,2015-10-28,2015
840,87,20170620,routine,2017-06-20,2017
845,94,20160729,routine,2016-07-29,2016
847,87,20160517,routine,2016-05-17,2016
