business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,postal_code_5
63971,MUNCHBOXX,643 CLAY ST ,San Francisco,CA,94111,37.794554,-122.403827,+14155174286,94111
63992,THAI COTTAGE RESTAURANT,4041 JUDAH ST ,San Francisco,CA,94122,37.760413,-122.50555,+14156760820,94122
64004,MISSION GROCETERIA,2950 23RD ST ,San Francisco,CA,94110,37.754298,-122.411272,+14156480275,94110
64008,JONES,620 JONES ST ,San Francisco,CA,94102,37.787116999999995,-122.41318600000001,+14155598532,94102
64021,SWEET MAPLE COFFEE SHOP,2101 SUTTER ST ,San Francisco,CA,94115,37.785833000000004,-122.43493799999999,+14152355279,94115
64057,RAGAZZA,311 DIVISADERO ST ,San Francisco,CA,94117,37.772473,-122.437324,+14152551133,94117
64067,CREATIVE CATERING,2600 TURK ST ,San Francisco,CA,94118,37.778313,-122.449816,+14153147718,94118
64076,THE SYCAMORE,2140 MISSION ST ,San Francisco,CA,94110,37.762789,-122.419495,+14152527704,94110
64092,MOYO'S YOGURT,1737 POST ST #367,San Francisco,CA,94115,37.785457,-122.43031699999999,+14159460489,94115
64101,YOUR MARKET,1460 48TH AVE ,San Francisco,CA,94124,37.759173,-122.50795600000001,+14155646530,94124
64116,ARIZMENDI BAKERY,1268 VALENCIA ST ,San Francisco,CA,94110,37.752612,-122.42076899999999,+14156830049,94110
64141,FRESCO PIZZA AND GRILL,1338 POLK ST ,San Francisco,CA,94109,37.789278,-122.420387,+14155735415,94109
64154,"YUMMY DIM SUM & FAST FOOD, LLC",930 STOCKTON ST ,San Francisco,CA,94108,37.794457,-122.407896,+14159862783,94108
64161,HOUSE OF THAI,901 LARKIN ST,San Francisco,CA,94109,37.786119,-122.418182,,94109
64176,DRAGON RIVER RESTAURANT,5045 GEARY BLVD ,San Francisco,CA,94118,37.780522999999995,-122.47358,+14153876698,94118
64195,GOLDEN GATE INDIAN CUISINE & PIZZA,1388 C 46TH AVE ,San Francisco,CA,94122,37.758941,-122.48591,+14155645514,94122
64213,BBC CAFE,1485 BAYSHORE BLVD ,San Francisco,CA,94124,37.726,-122.40159799999999,+14154672051,94124
64231,SWEET LIME INC.,2100 SUTTER ST ,San Francisco,CA,94115,37.785888,-122.43513300000001,+14159229419,94115
64236,SUTTER PUB AND RESTAURANT,700 SUTTER ST ,San Francisco,CA,94102,37.78881,-122.41188000000001,+14154419141,94102
64242,DOGPATCH CAFE,2295 03RD ST ,San Francisco,CA,94107,37.760575,-122.388398,+14152559982,94107
64308,GOODY GOODIE CREAM & SUGAR,1830 HARRISON STREET,San Francisco,CA,94103,37.767967999999996,-122.41338400000001,+14153173013,94103
64338,HI TOPS,2247 MARKET ST,San Francisco,CA,94114,,,+14155512500,94114
64346,FILLMORE BAKE SHOP,1890 FILLMORE ST ,San Francisco,CA,94115,37.786951,-122.43336200000002,+14159230711,94115
64351,FATTED CALF SF,320 FELL ST ,San Francisco,CA,94102,37.775918,-122.423134,+14154005614,94102
64354,"SAN FRANCISCO POULTRY, INC.",1199 STOCKTON ST #A,San Francisco,CA,94133,37.796583,-122.408413,+14154211696,94133
64361,AROMA TEA SHOP,302 06TH AVE ,San Francisco,CA,94118,37.778382,-122.462787,+14156683788,94118
64377,LEOPOLD'S,2400 POLK ST ,San Francisco,CA,94109,37.798887,-122.42231699999999,+14157717376,94109
64379,PICCADILLY FISH & CHIPS,1348 POLK ST ,San Francisco,CA,94109,37.789299,-122.42035200000001,+14157716477,94109
64380,MICHAEL MINA RESTAURANT,252 CALIFORNIA ST ,San Francisco,CA,94111,37.793338,-122.399583,+14153590791,94111
64384,TWENTY FIVE LUSK,25 LUSK ST ,San Francisco,CA,94107,37.778414,-122.394411,+14154955875,94107
64416,YOPPI YOGURT,845 MARKET ST 277,San Francisco,CA,94103,37.784848,-122.406892,+14155192366,94103
64420,HOLY GHOST SERVICE CENTER,3230 SAN BRUNO AVE ,San Francisco,CA,94134,37.721088,-122.40100000000001,+14157229517,94134
64437,WE LOVE JAM,1310 09TH AVE ,San Francisco,CA,94122,,,+14155776092,94122
64454,SUSHIRRITO,59 NEW MONTGOMERY ST ,San Francisco,CA,94105,37.787925,-122.400953,+14152749549,94105
64466,SHANGHAI DUMPLING KING,3319 BALBOA ST ,San Francisco,CA,94121,37.775813,-122.494499,+14153872088,94121
64484,TWIRL AND DIP,335 MARTIN LUTHER KING JR DR ,San Francisco,CA,94118,37.777122,-122.41963899999999,+14155480358,94118
64490,HOME MAID RAVIOLI CO.,1322 GROVE ST ,San Francisco,CA,94117,,,+14155880600,94117
64492,WHOLE FOODS MARKET,690 STANYAN ST.,San Francisco,CA,94117,37.769417,-122.453547,+14158766730,94117
64496,HORNBLOWER CRUISES & EVENTS/SF SPIRIT," PIER 3, THE EMBARCADERO  ",San Francisco,CA,94111,37.794551,-122.39318999999999,+14157888866,94111
64501,CANCHOLA'S BAR,3775 MISSION ST ,San Francisco,CA,94110,37.736323,-122.42428000000001,+14156482909,94110
64502,PIZZERIA SOPHIA,1934 OCEAN AVE ,San Francisco,CA,94127,37.725697,-122.463311,+14155874992,94127
64503,WOOLY PIG CAFE,205 HUGO ST ,San Francisco,CA,94122,37.765184000000005,-122.46002800000001,+14153348730,94122
64513,GOLD COAST GRILL & CATERING,1650 HOLLOWAY AVE ,San Francisco,CA,94132,37.720894,-122.478029,+14153381674,94132
64524,FRESCA RESTAURANT,737 IRVING ST ,San Francisco,CA,94122,37.764033000000005,-122.4659,+14157425727,94122
64525,LOVING HUT VEGAN CUISINE,524 IRVING ST ,San Francisco,CA,94122,37.764188,-122.46359199999999,+14157311957,94122
64549,EIGHT IMMORTALS,1433 TARAVAL ST ,San Francisco,CA,94116,37.742754,-122.48165900000001,+14157315515,94116
64612,HENRY'S HUNAN RESTAURANT,4753 MISSION ST ,San Francisco,CA,94112,37.722252000000005,-122.436625,+14155858838,94112
64630,ISOBUNE SUSHI SF,1737 POST ST #355,San Francisco,CA,94115,37.785457,-122.43031699999999,+14156257437,94115
64636,CHINATOWN YMCA (KITCHEN),855 SACRAMENTO ST ,San Francisco,CA,94108,37.793234000000005,-122.40693200000001,+14155769622,94108
64653,MOW LEE COMPANY,774 COMMERCIAL ST ,San Francisco,CA,94108,37.793907,-122.40586299999998,+14159825767,94108
64667,JASMINE RAE BAKERY,1890 BRYANT ST #309,San Francisco,CA,94110,37.763156,-122.410351,+14156212464,94110
64682,STRAW,203 OCTAVIA ST ,San Francisco,CA,94102,37.773928000000005,-122.42419,+14154313663,94102
64717,18 REASONS,3674 18TH ST ,San Francisco,CA,94110,37.761497999999996,-122.425402,+14152419760,94110
64723,REVEILLE COFFEE,768 SANSOME  ,San Francisco,CA,94111,37.797327,-122.40195700000001,+14157896258,94111
